# label(IAU), ra_deg, dec_deg, z  — SDSS GALAXY 0<=z<0.05
SDSS J104604.06+584424.6, 161.516900, 58.740178, 0.00000
SDSS J073828.67+374841.8, 114.619450, 37.811619, 0.00000
SDSS J072343.41+401753.8, 110.930880, 40.298268, 0.00000
SDSS J003021.14+325206.6, 7.588084, 32.868488, 0.00000
SDSS J122621.56+064010.8, 186.589830, 6.669664, 0.00500
SDSS J144026.12+335920.8, 220.108820, 33.989112, 0.00500
SDSS J141027.71+541617.7, 212.615460, 54.271572, 0.00500
SDSS J120237.07+642235.3, 180.654460, 64.376464, 0.00500
SDSS J104727.44+135323.1, 161.864320, 13.889750, 0.01000
SDSS J170201.22+230948.5, 255.505100, 23.163478, 0.01000
SDSS J114117.43+474148.9, 175.322630, 47.696914, 0.01000
SDSS J153615.48-002057.9, 234.064500, -0.349405, 0.01000
SDSS J081938.59+195556.9, 124.910810, 19.932478, 0.01500
SDSS J143945.30+232347.7, 219.938750, 23.396585, 0.01500
SDSS J080808.67+221847.0, 122.036110, 22.313044, 0.01500
SDSS J153119.49+183708.8, 232.831220, 18.619110, 0.01500
SDSS J133138.47+401134.3, 202.910290, 40.192873, 0.02000
SDSS J123540.51+263834.6, 188.918780, 26.642953, 0.02000
SDSS J020447.19+005006.2, 31.196645, 0.835053, 0.02000
SDSS J121359.13+173256.4, 183.496370, 17.548992, 0.02000
SDSS J135307.07+002631.9, 208.279470, 0.442192, 0.02500
SDSS J104559.94+214107.4, 161.499750, 21.685376, 0.02500
SDSS J120702.07+203931.9, 181.758640, 20.658873, 0.02500
SDSS J225741.25-102755.1, 344.421860, -10.465300, 0.02500
SDSS J013106.71+210617.6, 22.777975, 21.104894, 0.03000
SDSS J212920.97-001026.4, 322.337370, -0.174002, 0.03000
SDSS J085230.42+212554.4, 133.126730, 21.431765, 0.03000
SDSS J032633.95-010608.6, 51.641451, -1.102391, 0.03000
SDSS J142434.22+261310.2, 216.142580, 26.219492, 0.03500
SDSS J160741.40+133517.7, 241.922500, 13.588262, 0.03500
SDSS J140105.32+340540.4, 210.272180, 34.094560, 0.03500
SDSS J150808.02+101235.9, 227.033400, 10.209972, 0.03500
SDSS J095336.36+650016.6, 148.401490, 65.004620, 0.04000
SDSS J152253.15+204430.6, 230.721460, 20.741824, 0.04000
SDSS J141055.19+460342.6, 212.729960, 46.061822, 0.04000
SDSS J155411.19+101220.5, 238.546630, 10.205707, 0.04000
SDSS J082815.70+334656.5, 127.065420, 33.782357, 0.04500
SDSS J074743.92+225909.2, 116.933000, 22.985891, 0.04500
SDSS J103106.21+563641.8, 157.775880, 56.611619, 0.04500
SDSS J102126.34+083839.8, 155.359770, 8.644401, 0.04500
