# name, ra_deg, dec_deg, z  (SDSS SpecObj; GALAXY class; 0<=z<1)
SDSS J003021.14+325206.6, 7.588084, 32.868488, 0.00000
SDSS J073828.67+374841.8, 114.619450, 37.811619, 0.00000
SDSS J094437.70+005613.4, 146.157100, 0.937048, 0.00000
SDSS J122101.94+183020.0, 185.258090, 18.505547, 0.10000
SDSS J133400.22+054433.7, 203.500920, 5.742695, 0.10000
SDSS J144944.99+343454.3, 222.437460, 34.581740, 0.10000
SDSS J155918.00+025908.2, 239.824990, 2.985602, 0.20000
SDSS J095448.47+192612.9, 148.701940, 19.436924, 0.20000
SDSS J014317.78+121234.5, 25.824069, 12.209581, 0.20000
SDSS J150953.32+121239.5, 227.472170, 12.210968, 0.30000
SDSS J145157.56+423745.9, 222.989820, 42.629408, 0.30000
SDSS J031750.26+005051.9, 49.459411, 0.847754, 0.30000
SDSS J150939.27+595352.6, 227.413610, 59.897948, 0.40000
SDSS J011303.16+170745.3, 18.263165, 17.129241, 0.40000
SDSS J222906.80+303251.7, 337.278350, 30.547702, 0.40000
SDSS J094846.88+105918.4, 147.195350, 10.988449, 0.50000
SDSS J225954.64-030303.1, 344.977660, -3.050858, 0.50000
SDSS J155117.55+073823.5, 237.823110, 7.639862, 0.50000
SDSS J011911.52+283924.2, 19.797999, 28.656732, 0.60000
SDSS J120530.52+150832.5, 181.377170, 15.142361, 0.60000
SDSS J233845.13+044410.7, 354.688030, 4.736307, 0.60000
SDSS J215504.02+050958.4, 328.766740, 5.166219, 0.70000
SDSS J122940.22+513849.8, 187.417600, 51.647160, 0.70000
SDSS J092427.70+024929.2, 141.115410, 2.824785, 0.70000
SDSS J121334.54+332253.9, 183.393920, 33.381647, 0.80000
SDSS J100609.53+431711.4, 151.539690, 43.286509, 0.80000
SDSS J142855.45+481056.8, 217.231060, 48.182435, 0.80000
SDSS J084208.79+172858.5, 130.536620, 17.482914, 0.90000
SDSS J004036.43+023226.7, 10.151784, 2.540737, 0.90000
SDSS J014433.11+120600.3, 26.137963, 12.100092, 0.90000
